Index,X,Y,Z,Target_X,Target_Y,Target_Z
156,0.287754,-0.000232208,0.000197802,0.284811,-0.000256922,0.000280196
157,0.287523,-0.000234862,0.000202931,0.284811,-0.000256922,0.000280196
158,0.287292,-0.000237497,0.00020805,0.284811,-0.000256922,0.000280196
159,0.287061,-0.000240113,0.000213158,0.284811,-0.000256922,0.000280196
160,0.28683,-0.000242709,0.000218256,0.284811,-0.000256922,0.000280196
161,0.286599,-0.000245286,0.000223343,0.284811,-0.000256922,0.000280196
162,0.286498,-0.000246541,0.000226028,0.284811,-0.000256922,0.000280196
163,0.286398,-0.000247779,0.000228707,0.284811,-0.000256922,0.000280196
164,0.286297,-0.000249003,0.00023138,0.284811,-0.000256922,0.000280196
165,0.286196,-0.00025021,0.000234048,0.284811,-0.000256922,0.000280196
166,0.286095,-0.000251402,0.000236709,0.284811,-0.000256922,0.000280196
167,0.285994,-0.000252579,0.000239365,0.284811,-0.000256922,0.000280196
168,0.285893,-0.00025374,0.000242014,0.284811,-0.000256922,0.000280196
169,0.285793,-0.000254886,0.000244658,0.284811,-0.000256922,0.000280196
170,0.285692,-0.000256018,0.000247295,0.284811,-0.000256922,0.000280196
171,0.285591,-0.000257134,0.000249926,0.284811,-0.000256922,0.000280196
172,0.285547,-0.000257639,0.000251265,0.284811,-0.000256922,0.000280196
173,0.285503,-0.000258131,0.000252601,0.284811,-0.000256922,0.000280196
174,0.285459,-0.000258611,0.000253933,0.284811,-0.000256922,0.000280196
175,0.285415,-0.000259077,0.000255262,0.284811,-0.000256922,0.000280196
176,0.285371,-0.000259532,0.000256588,0.284811,-0.000256922,0.000280196
177,0.285327,-0.000259973,0.000257911,0.284811,-0.000256922,0.000280196
178,0.285283,-0.000260402,0.00025923,0.284811,-0.000256922,0.000280196
179,0.285239,-0.000260819,0.000260546,0.284811,-0.000256922,0.000280196
180,0.285195,-0.000261224,0.000261858,0.284811,-0.000256922,0.000280196
181,0.285151,-0.000261616,0.000263167,0.284811,-0.000256922,0.000280196
182,0.285132,-0.000261764,0.000263816,0.284811,-0.000256922,0.000280196
183,0.285113,-0.000261902,0.000264462,0.284811,-0.000256922,0.000280196
184,0.285094,-0.000262029,0.000265107,0.284811,-0.000256922,0.000280196
185,0.285075,-0.000262145,0.00026575,0.284811,-0.000256922,0.000280196
186,0.285055,-0.00026225,0.000266392,0.284811,-0.000256922,0.000280196
187,0.285036,-0.000262344,0.000267031,0.284811,-0.000256922,0.000280196
188,0.285017,-0.000262428,0.000267668,0.284811,-0.000256922,0.000280196
189,0.284998,-0.000262501,0.000268303,0.284811,-0.000256922,0.000280196
190,0.284979,-0.000262563,0.000268936,0.284811,-0.000256922,0.000280196
191,0.28496,-0.000262615,0.000269567,0.284811,-0.000256922,0.000280196
192,0.284951,-0.000262602,0.000269873,0.284811,-0.000256922,0.000280196
193,0.284943,-0.000262579,0.000270178,0.284811,-0.000256922,0.000280196
194,0.284935,-0.000262546,0.000270481,0.284811,-0.000256922,0.000280196
195,0.284926,-0.000262503,0.000270783,0.284811,-0.000256922,0.000280196
196,0.284918,-0.000262451,0.000271084,0.284811,-0.000256922,0.000280196
197,0.28491,-0.00026239,0.000271384,0.284811,-0.000256922,0.000280196
198,0.284901,-0.000262319,0.000271682,0.284811,-0.000256922,0.000280196
199,0.284893,-0.000262238,0.000271979,0.284811,-0.000256922,0.000280196
200,0.284885,-0.000262149,0.000272274,0.127173,-0.000283446,0.00046038
201,0.284876,-0.00026205,0.000272568,0.127173,-0.000283446,0.00046038
202,0.277004,-0.000255568,0.000259632,0.127173,-0.000283446,0.00046038
203,0.269131,-0.000249433,0.000247375,0.127173,-0.000283446,0.00046038
204,0.261258,-0.000243629,0.000235793,0.127173,-0.000283446,0.00046038
205,0.253384,-0.000238141,0.000224883,0.127173,-0.000283446,0.00046038
