Index,X,Y,Z,Target_X,Target_Y,Target_Z
186,-0.243786,-0.0247946,0.599549,-0.21436,-0.0248534,0.59964
187,-0.243501,-0.0247948,0.599548,-0.21436,-0.0248534,0.59964
188,-0.243216,-0.0247949,0.599548,-0.21436,-0.0248534,0.59964
189,-0.242931,-0.0247951,0.599548,-0.21436,-0.0248534,0.59964
190,-0.242646,-0.0247952,0.599548,-0.21436,-0.0248534,0.59964
191,-0.242361,-0.0247954,0.599548,-0.21436,-0.0248534,0.59964
192,-0.242075,-0.0247955,0.599548,-0.21436,-0.0248534,0.59964
193,-0.24179,-0.0247956,0.599548,-0.21436,-0.0248534,0.59964
194,-0.241505,-0.0247958,0.599548,-0.21436,-0.0248534,0.59964
195,-0.24122,-0.0247959,0.599548,-0.21436,-0.0248534,0.59964
196,-0.240935,-0.0247961,0.599548,-0.21436,-0.0248534,0.59964
197,-0.24065,-0.0247962,0.599548,-0.21436,-0.0248534,0.59964
198,-0.240365,-0.0247964,0.599548,-0.21436,-0.0248534,0.59964
199,-0.24008,-0.0247965,0.599548,-0.21436,-0.0248534,0.59964
200,-0.239795,-0.0247967,0.599548,-0.21436,-0.0248534,0.59964
201,-0.23951,-0.0247968,0.599548,-0.21436,-0.0248534,0.59964
202,-0.239236,-0.024797,0.599548,-0.21436,-0.0248534,0.59964
203,-0.238971,-0.0247971,0.599548,-0.21436,-0.0248534,0.59964
204,-0.238713,-0.0247972,0.599548,-0.21436,-0.0248534,0.59964
205,-0.238464,-0.0247974,0.599547,-0.21436,-0.0248534,0.59964
206,-0.238222,-0.0247975,0.599547,-0.21436,-0.0248534,0.59964
207,-0.237988,-0.0247977,0.599547,-0.21436,-0.0248534,0.59964
208,-0.237762,-0.0247978,0.599547,-0.21436,-0.0248534,0.59964
209,-0.237544,-0.024798,0.599547,-0.21436,-0.0248534,0.59964
210,-0.237334,-0.0247981,0.599547,-0.21436,-0.0248534,0.59964
211,-0.237132,-0.0247983,0.599547,-0.21436,-0.0248534,0.59964
212,-0.236932,-0.0247984,0.599547,-0.21436,-0.0248534,0.59964
213,-0.236737,-0.0247986,0.599547,-0.21436,-0.0248534,0.59964
214,-0.236546,-0.0247987,0.599547,-0.21436,-0.0248534,0.59964
215,-0.236359,-0.0247989,0.599548,-0.21436,-0.0248534,0.59964
216,-0.236177,-0.0247991,0.599548,-0.21436,-0.0248534,0.59964
