Index,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_z,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_z,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z
88,0,0,0,0.395133,0.00134794,-8.36635,-0.00173611,-0.00072928,-0.0808993,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
89,0,0,0,0.395133,0.00134794,-8.46635,-0.00196876,-0.000759148,-0.0809678,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
90,0,0,0,0.395133,0.00134794,-8.56635,-0.00216585,-0.000811372,-0.0805736,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
91,0,0,0,0.395133,0.00134794,-8.66635,-0.00210866,-0.000712767,-0.0805001,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
92,0,0,0,0.395133,0.00134794,-8.76635,-0.0012982,-0.000666714,-0.0796632,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
93,0,0,0,0.395133,0.00134794,-8.86635,-0.00101952,-0.000721322,-0.0806447,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
94,0,0,0,0.395133,0.00134794,-8.96635,-0.00143213,-0.000761367,-0.0814631,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
95,0,0,0,0.395133,0.00134794,-9.06635,-0.00231499,-0.000815055,-0.0821498,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
96,0,0,0,0.395133,0.00134794,-9.16635,-0.00246078,-0.000917855,-0.0814516,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
97,0,0,0,0.395133,0.00134794,-9.26635,-0.00307262,-0.000923041,-0.0796229,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
98,0,0,0,0.395133,0.00134794,-9.36635,-0.00382248,-0.000891586,-0.0788507,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
99,0,0,0,0.395133,0.00134794,-9.46635,-0.00402054,-0.000830845,-0.079802,0,0,-0.02,0.0590629,0.0227744,1.82903,0.00803351,-0.342805,-0.00713757
100,0.000543901,-0.0534208,0.000459193,0.395133,0.00134794,-9.56635,-0.00361575,-0.000882886,-0.0800939,-0.0390571,0.00871197,-0.02,-1.0511,0.286284,1.79406,0.0398405,-3.54588,0.0216094
